Number of Positve Word,Number of Negative Word,Frequency of Positive Words,Frequency of Negative Words,Sentiment Value,Number of Stop Words,Number of Capitalization,Average Word Length,Max Word Length,Is maximum word positive?,Sum Consonant Character Position,Sum Vowel Character Position,Total Number of Words,SENTIMENT CLASS
0,3,0,25,-30,1,1,5,11,0,181,87,12,0
0,1,0,5,-10,12,1,3,10,0,148,88,20,0
1,4,3.125,12.5,-30,7,1,4,12,0,366,220,32,0
0,0,0,0,0,5,1,3,8,0,72,34,9,0
1,0,4.545454545,0,10,9,2,3,7,0,155,89,22,1
2,2,9.523809524,9.523809524,0,4,3,3,9,0,176,88,21,0
0,1,0,25,-10,0,1,2,6,0,27,15,4,0
2,0,12.5,0,20,3,1,3,8,0,112,67,16,1
0,0,0,0,0,0,1,3,11,0,43,30,4,0
1,0,9.090909091,0,10,3,3,3,7,0,98,55,11,1
1,0,14.28571429,0,10,3,1,3,8,0,52,35,7,1
2,0,12.5,0,20,4,2,3,9,0,105,76,16,1
2,0,16.66666667,0,20,6,11,3,9,0,83,62,12,1
1,0,20,0,10,3,4,1,4,0,12,10,5,1
1,0,5.882352941,0,10,9,1,4,10,0,164,74,17,1
1,0,4.761904762,0,10,8,1,3,7,0,125,82,21,0
1,1,4.545454545,4.545454545,0,5,6,3,8,0,157,114,22,1
1,0,4.166666667,0,10,10,1,5,15,0,406,187,24,1
2,0,11.11111111,0,20,5,1,4,13,0,193,127,18,1
0,0,0,0,0,9,1,3,11,0,182,87,18,1
1,0,6.25,0,10,8,1,4,9,0,177,81,16,1
1,0,5.263157895,0,10,9,1,3,7,0,145,64,19,1
1,0,5.882352941,0,10,7,1,3,8,0,116,64,17,1
0,0,0,0,0,4,1,4,11,0,146,99,12,1
2,0,9.090909091,0,20,5,1,4,14,0,272,182,22,1
0,0,0,0,0,3,1,4,9,0,93,33,8,0
1,0,9.090909091,0,10,3,1,3,8,0,68,32,11,0
1,0,8.333333333,0,10,5,3,3,6,0,58,41,12,1
2,0,40,0,20,1,1,3,8,0,46,24,5,1
0,1,0,16.66666667,-10,1,1,2,6,0,20,20,6,1
0,0,0,0,0,1,1,4,10,0,159,108,13,1
0,1,0,14.28571429,-10,5,1,3,5,0,35,28,7,1
1,1,9.090909091,9.090909091,0,6,1,3,8,0,82,35,11,1
1,0,11.11111111,0,10,3,1,3,8,0,74,43,9,1
0,1,0,16.66666667,-10,1,1,3,8,0,48,25,6,0
1,0,8.333333333,0,10,5,3,2,6,0,46,38,12,1
0,0,0,0,0,2,1,2,5,0,24,11,4,1
2,0,22.22222222,0,20,0,1,2,5,0,33,20,9,1
2,0,50,0,20,0,15,3,10,0,42,33,4,1
0,1,0,11.11111111,-10,4,1,3,10,0,77,47,9,0
0,2,0,6.25,-20,8,5,4,10,0,261,182,32,0
0,0,0,0,0,2,1,3,10,0,71,33,7,0
0,2,0,4.761904762,-20,13,8,4,12,0,341,188,42,0
0,1,0,16.66666667,-10,1,1,2,5,0,38,9,6,0
1,0,11.11111111,0,10,1,2,3,8,0,81,40,9,0
2,1,10.52631579,5.263157895,10,3,7,4,8,0,181,87,19,0
0,1,0,11.11111111,-10,3,1,3,11,0,93,44,9,0
2,1,5.882352941,2.941176471,10,17,2,4,17,0,346,213,34,0
0,0,0,0,0,11,1,3,9,0,154,77,18,0
1,0,7.692307692,0,10,2,1,4,9,0,138,94,13,1
1,0,5.263157895,0,10,5,1,3,9,0,148,84,19,1
3,0,10.71428571,0,30,11,3,4,8,0,236,139,28,1
1,2,8.333333333,16.66666667,-10,5,1,3,15,0,135,67,12,1
1,3,4.545454545,13.63636364,-20,7,1,3,8,0,164,111,22,0
0,2,0,40,-20,0,1,3,9,0,58,18,5,0
1,0,7.692307692,0,10,5,2,3,9,0,112,63,13,0
1,0,16.66666667,0,10,0,1,4,12,0,109,49,6,1
1,0,33.33333333,0,10,0,1,4,10,0,49,34,3,1
1,1,16.66666667,16.66666667,0,1,2,4,10,0,80,34,6,1
0,1,0,9.090909091,-10,2,3,3,9,0,118,58,11,1
0,0,0,0,0,2,3,2,7,0,39,29,8,1
1,0,7.142857143,0,10,7,2,2,10,0,70,41,14,1
1,0,10,0,10,0,3,2,5,0,47,22,10,1
1,0,7.692307692,0,10,9,1,3,8,0,108,62,13,1
0,1,0,12.5,-10,3,1,3,12,0,67,52,8,0
0,1,0,5.263157895,-10,9,1,4,11,0,214,120,19,0
0,1,0,11.11111111,-10,1,1,5,12,0,153,81,9,0
2,0,15.38461538,0,20,8,1,4,10,0,143,72,13,0
0,0,0,0,0,5,1,3,7,0,65,36,8,0
3,1,8.571428571,2.857142857,20,13,1,4,13,0,366,235,35,0
1,0,11.11111111,0,10,3,1,3,8,0,72,32,9,0
0,0,0,0,0,5,1,4,12,0,174,103,16,0
1,3,4.166666667,12.5,-20,7,1,4,13,0,291,137,24,0
1,0,11.11111111,0,10,3,1,3,9,0,76,42,9,1
1,0,8.333333333,0,10,5,1,3,8,0,102,44,12,0
1,0,6.666666667,0,10,4,4,3,8,0,98,59,15,1
2,0,7.142857143,0,20,9,2,4,10,0,313,191,28,1
1,1,5.263157895,5.263157895,0,10,1,3,6,0,110,75,19,1
1,0,14.28571429,0,10,0,2,3,9,0,65,30,7,1
2,0,14.28571429,0,20,7,1,3,9,0,120,61,14,1
1,1,3.03030303,3.03030303,0,9,6,4,11,0,317,191,33,0
0,0,0,0,0,4,2,2,5,0,59,40,13,1
0,0,0,0,0,7,1,3,13,0,128,91,15,1
1,0,12.5,0,10,1,1,5,17,0,190,82,8,1
0,0,0,0,0,3,1,4,10,0,126,67,12,1
0,0,0,0,0,3,1,2,4,0,18,19,6,1
0,0,0,0,0,1,1,1,4,0,9,9,6,1
2,0,16.66666667,0,20,2,3,3,8,0,98,38,12,1
1,0,16.66666667,0,10,1,1,2,7,0,26,19,6,1
2,0,12.5,0,20,3,2,4,15,0,196,89,16,1
1,0,20,0,10,0,1,4,10,0,78,34,5,1
0,1,0,16.66666667,-10,3,1,3,7,0,46,21,6,0
0,1,0,25,-10,2,1,3,10,0,37,27,4,0
1,0,11.11111111,0,10,4,8,3,10,0,75,56,9,0
0,2,0,11.76470588,-20,6,2,4,11,0,156,95,17,0
2,1,11.11111111,5.555555556,10,5,15,4,13,0,187,124,18,1
0,1,0,5,-10,7,1,4,12,0,227,138,20,1
0,0,0,0,0,5,1,3,9,0,94,66,13,1
1,1,4,4,0,10,2,3,9,0,206,96,25,1
3,0,8.823529412,0,30,11,8,4,14,0,323,192,34,1
0,1,0,12.5,-10,2,1,3,12,0,81,47,8,1
0,3,0,12.5,-30,7,8,4,12,0,231,111,24,0
0,3,0,25,-30,4,1,4,9,0,132,75,12,0
0,0,0,0,0,3,1,3,11,0,80,48,10,0
1,0,25,0,10,1,1,4,11,0,68,32,4,0
0,1,0,33.33333333,-10,1,1,4,13,0,67,34,3,0
2,0,11.76470588,0,20,6,1,4,9,0,157,92,17,1
1,1,7.142857143,7.142857143,0,3,3,3,5,0,58,54,14,0
0,0,0,0,0,0,3,2,5,0,58,24,12,0
1,0,8.333333333,0,10,3,1,3,7,0,86,26,12,1
3,0,11.53846154,0,30,6,1,4,12,0,237,118,26,1
1,0,10,0,10,2,1,4,14,0,146,71,10,0
0,1,0,3.846153846,-10,9,3,4,9,0,256,179,26,0
0,1,0,7.142857143,-10,6,1,3,12,0,116,65,14,0
0,1,0,16.66666667,-10,2,1,4,11,0,77,61,6,0
0,0,0,0,0,3,1,5,14,0,186,110,10,0
0,2,0,15.38461538,-20,3,1,4,9,0,109,75,13,0
1,4,4,16,-30,10,1,4,9,0,224,132,25,0
0,0,0,0,0,5,1,4,9,0,91,76,10,1
1,0,20,0,10,0,1,2,6,0,32,15,5,1
2,0,25,0,20,0,1,2,8,0,50,31,8,1
0,1,0,3.703703704,-10,17,1,3,8,0,118,100,27,1
1,0,10,0,10,2,1,2,6,0,48,32,10,1
0,0,0,0,0,2,1,2,6,0,35,34,9,1
1,0,50,0,10,0,1,3,9,0,29,16,2,1
0,0,0,0,0,0,0,10,10,0,55,0,0,1
1,0,12.5,0,10,3,1,2,5,0,33,30,8,1
0,1,0,5.555555556,-10,6,4,3,8,0,154,89,18,0
0,0,0,0,0,7,1,3,9,0,159,82,19,1
1,1,5.882352941,5.882352941,0,9,1,4,12,0,172,91,17,0
0,0,0,0,0,16,8,4,10,0,424,184,36,0
0,2,0,10,-20,9,1,4,14,0,211,118,20,0
1,1,9.090909091,9.090909091,0,4,5,3,8,0,91,40,11,0
1,1,14.28571429,14.28571429,0,1,1,3,14,0,92,44,7,0
0,0,0,0,0,6,1,3,7,0,88,57,12,0
0,2,0,11.76470588,-20,5,3,3,6,0,96,41,17,0
0,0,0,0,0,10,1,3,7,0,154,79,18,0
0,2,0,8.333333333,-20,6,4,3,8,0,160,92,24,0
0,1,0,8.333333333,-10,2,2,4,14,0,198,90,12,0
0,4,0,19.04761905,-40,8,1,5,13,0,277,183,21,0
0,2,0,9.523809524,-20,10,1,4,15,0,260,136,21,0
2,1,9.090909091,4.545454545,10,8,1,3,8,0,136,79,22,0
1,3,4.347826087,13.04347826,-20,4,1,3,9,0,176,89,23,0
0,1,0,8.333333333,-10,5,1,4,10,0,115,55,12,0
3,0,21.42857143,0,30,3,1,4,10,0,159,66,14,1
2,4,8.333333333,16.66666667,-20,8,2,3,10,0,191,114,24,0
0,1,0,5,-10,6,1,3,10,0,157,95,20,0
0,1,0,16.66666667,-10,0,1,2,5,0,36,11,6,0
0,2,0,20,-20,2,1,3,8,0,80,44,10,0
0,0,0,0,0,5,5,3,8,0,119,75,15,0
0,0,0,0,0,1,1,2,4,0,14,13,5,0
0,1,0,7.692307692,-10,1,5,3,7,0,101,55,13,1
0,1,0,20,-10,3,7,2,6,0,22,11,5,0
0,1,0,25,-10,1,1,3,10,0,38,30,4,0
0,1,0,16.66666667,-10,1,1,2,5,0,22,15,6,0
0,1,0,50,-10,0,1,2,8,0,21,15,2,0
0,1,0,9.090909091,-10,5,2,2,6,0,57,25,11,0
1,0,5.555555556,0,10,8,1,3,7,0,86,68,18,0
1,1,16.66666667,16.66666667,0,0,1,2,6,0,25,27,6,0
1,1,14.28571429,14.28571429,0,2,1,3,6,0,52,31,7,0
0,1,0,14.28571429,-10,3,24,3,9,0,45,34,7,0
0,0,0,0,0,9,1,3,20,0,237,149,20,0
0,1,0,50,-10,0,1,1,5,0,10,5,2,0
0,1,0,6.666666667,-10,2,2,3,8,0,84,54,15,0
1,2,3.703703704,7.407407407,-10,10,3,3,7,0,163,95,27,0
0,0,0,0,0,6,6,6,19,0,397,225,16,0
1,3,2.941176471,8.823529412,-20,8,3,4,13,0,376,193,34,0
0,5,0,20.83333333,-50,8,1,4,10,0,265,152,24,0
4,0,19.04761905,0,40,9,2,3,11,0,168,109,21,1
0,0,0,0,0,5,1,4,17,0,212,121,15,0
2,0,9.090909091,0,20,6,2,3,10,0,190,108,22,0
0,1,0,5,-10,7,4,4,9,0,177,102,20,0
2,0,16.66666667,0,20,3,1,3,11,0,100,61,12,0
0,1,0,12.5,-10,2,1,2,8,0,39,28,8,0
1,0,14.28571429,0,10,3,1,3,9,0,66,44,7,0
0,1,0,25,-10,1,1,4,10,0,78,25,4,0
0,1,0,8.333333333,-10,3,1,5,11,0,215,93,12,0
0,1,0,16.66666667,-10,1,1,3,6,0,45,21,6,0
0,0,0,0,0,2,1,3,7,0,65,27,7,0
0,1,0,20,-10,1,1,3,8,0,38,20,5,0
1,0,16.66666667,0,10,1,1,3,13,0,64,52,6,0
1,2,8.333333333,16.66666667,-10,5,1,3,7,0,93,56,12,0
0,1,0,10,-10,3,1,3,7,0,54,34,10,0
1,1,9.090909091,9.090909091,0,4,1,4,11,0,124,98,11,0
1,0,14.28571429,0,10,2,1,4,14,0,112,60,7,0
0,0,0,0,0,0,1,4,13,0,78,34,3,0
0,1,0,10,-10,4,1,3,7,0,77,55,10,0
0,1,0,20,-10,2,1,2,4,0,24,8,5,0
1,0,16.66666667,0,10,3,1,3,9,0,61,24,6,0
1,0,16.66666667,0,10,0,2,4,11,0,85,42,6,1
5,0,14.28571429,0,50,15,3,3,8,0,275,132,35,1
4,1,19.04761905,4.761904762,30,4,3,4,12,0,230,125,21,1
0,1,0,8.333333333,-10,7,1,4,8,0,106,90,12,0
0,0,0,0,0,4,1,3,5,0,32,30,7,0
2,1,10.52631579,5.263157895,10,10,1,3,7,0,142,88,19,0
0,0,0,0,0,2,1,3,10,0,81,62,10,0
1,0,25,0,10,1,1,2,6,0,22,12,4,1
0,1,0,20,-10,2,4,2,5,0,17,17,5,0
0,1,0,33.33333333,-10,1,1,1,3,0,5,4,3,0
0,0,0,0,0,2,1,2,4,0,26,15,7,0
0,1,0,11.11111111,-10,5,1,3,10,0,61,38,9,0
1,0,7.692307692,0,10,2,2,3,8,0,78,62,13,1
1,0,6.666666667,0,10,2,2,3,10,0,123,71,15,1
0,0,0,0,0,9,1,4,8,0,168,106,19,1
0,0,0,0,0,3,3,2,5,0,66,33,13,1
1,0,9.090909091,0,10,3,1,3,6,0,75,50,11,0
0,2,0,11.11111111,-20,3,2,3,14,0,170,87,18,0
3,0,11.53846154,0,30,13,1,4,10,0,291,118,26,0
1,1,4,4,0,5,2,3,9,0,209,104,25,0
0,0,0,0,0,0,6,3,10,0,73,44,7,1
1,0,16.66666667,0,10,1,1,4,11,0,75,42,6,1
0,0,0,0,0,3,9,4,9,0,169,82,19,1
0,1,0,4.347826087,-10,7,3,3,8,0,169,75,23,1
1,0,20,0,10,0,2,3,9,0,57,25,5,1
2,0,9.090909091,0,20,4,2,5,12,0,272,173,22,1
1,0,16.66666667,0,10,0,1,3,9,0,69,31,6,1
0,2,0,14.28571429,-20,3,2,3,10,0,120,50,14,0
1,0,9.090909091,0,10,2,2,5,9,0,166,69,11,1
0,1,0,7.692307692,-10,10,1,4,9,0,126,73,13,0
0,1,0,11.11111111,-10,1,1,3,7,0,75,41,9,0
1,2,5.882352941,11.76470588,-10,5,1,4,11,0,186,107,17,0
0,1,0,12.5,-10,2,2,3,9,0,76,41,8,0
0,0,0,0,0,0,1,5,13,0,110,57,5,0
0,2,0,12.5,-20,2,1,4,14,0,232,129,16,0
0,0,0,0,0,5,1,5,12,0,215,111,15,0
1,1,3.333333333,3.333333333,0,12,1,4,13,0,382,194,30,0
1,2,5.555555556,11.11111111,-10,8,1,3,8,0,106,89,18,0
0,1,0,9.090909091,-10,1,1,4,10,0,106,66,11,0
1,0,7.692307692,0,10,4,3,3,7,0,73,40,13,1
0,0,0,0,0,3,1,4,10,0,140,63,11,1
0,5,0,11.11111111,-50,8,6,4,15,0,468,241,45,0
1,1,4.545454545,4.545454545,0,7,7,4,9,0,198,123,22,0
0,1,0,12.5,-10,1,1,4,12,0,123,55,8,0
0,1,0,20,-10,0,1,2,5,0,26,20,5,0
0,1,0,16.66666667,-10,3,1,2,5,0,22,22,6,0
0,1,0,16.66666667,-10,3,1,2,8,0,36,25,6,0
0,1,0,9.090909091,-10,2,2,3,8,0,70,54,11,0
0,1,0,10,-10,5,1,4,11,0,106,67,10,0
0,1,0,25,-10,1,1,2,6,0,24,13,4,0
1,1,3.846153846,3.846153846,0,14,1,3,8,0,188,128,26,0
0,0,0,0,0,11,1,3,11,0,190,85,20,0
1,0,7.692307692,0,10,4,3,2,5,0,58,34,13,0
3,0,15,0,30,6,1,3,10,0,151,87,20,1
5,0,12.19512195,0,50,10,1,5,15,0,613,372,41,1
0,2,0,40,-20,1,1,3,11,0,72,25,5,0
1,1,5,5,0,8,1,5,11,0,266,190,20,0
0,1,0,7.692307692,-10,5,3,3,7,0,87,61,13,0
1,0,16.66666667,0,10,0,2,2,8,0,44,17,6,1
0,3,0,25,-30,4,1,3,13,0,105,65,12,0
0,4,0,30.76923077,-40,3,1,4,9,0,116,72,13,0
0,1,0,25,-10,1,1,3,8,0,28,35,4,0
0,0,0,0,0,2,1,4,17,0,176,82,8,0
0,1,0,25,-10,1,1,3,10,0,59,23,4,0
0,1,0,25,-10,1,1,3,6,0,33,15,4,0
0,1,0,16.66666667,-10,1,1,4,9,0,72,38,6,0
1,0,25,0,10,3,1,2,4,0,15,11,4,1
0,1,0,25,-10,3,1,2,5,0,24,7,4,1
0,1,0,20,-10,3,1,2,5,0,20,7,5,1
0,2,0,28.57142857,-20,3,1,3,7,0,54,35,7,0
0,1,0,8.333333333,-10,5,1,4,14,0,148,90,12,0
0,1,0,12.5,-10,3,1,2,7,0,43,23,8,0
1,0,6.666666667,0,10,1,16,4,8,0,148,84,15,1
2,0,11.11111111,0,20,5,1,4,16,0,278,117,18,1
1,0,4.761904762,0,10,4,1,4,12,0,288,106,21,1
1,2,6.25,12.5,-10,4,1,4,12,0,224,109,16,1
1,0,11.11111111,0,10,2,1,3,10,0,79,40,9,1
2,0,18.18181818,0,20,3,1,3,8,0,69,56,11,1
1,0,3.571428571,0,10,10,1,4,10,0,248,163,28,1
2,0,13.33333333,0,20,1,4,5,16,0,258,152,15,1
2,2,10.52631579,10.52631579,0,2,1,5,13,0,322,192,19,1
3,0,23.07692308,0,30,1,1,4,9,0,154,63,13,1
1,0,12.5,0,10,5,2,3,8,0,51,32,8,1
1,0,12.5,0,10,3,1,4,10,0,118,51,8,1
0,0,0,0,0,7,1,3,7,0,93,55,14,1
0,2,0,7.407407407,-20,4,10,5,12,0,413,232,27,1
2,0,5.714285714,0,20,8,3,4,12,0,358,242,35,1
1,0,5.263157895,0,10,7,9,4,12,0,245,151,19,1
0,0,0,0,0,9,1,2,6,0,67,31,13,0
2,1,9.523809524,4.761904762,10,8,2,3,10,0,166,100,21,0
1,0,12.5,0,10,2,1,3,9,0,50,44,8,1
1,0,11.11111111,0,10,5,1,3,10,0,80,43,9,0
0,1,0,33.33333333,-10,0,1,2,5,0,11,14,3,0
0,0,0,0,0,4,1,3,6,0,56,41,9,0
0,1,0,9.090909091,-10,4,1,3,10,0,101,46,11,0
0,1,0,6.25,-10,5,4,2,7,0,78,46,16,0
1,0,16.66666667,0,10,2,2,4,10,0,100,32,6,0
1,1,8.333333333,8.333333333,0,4,3,2,4,0,43,26,12,0
0,1,0,20,-10,2,1,2,6,0,27,12,5,0
0,1,0,33.33333333,-10,0,1,2,6,0,20,7,3,0
0,1,0,8.333333333,-10,4,3,3,8,0,108,47,12,0
0,1,0,20,-10,0,1,3,10,0,47,30,5,0
0,0,0,0,0,2,1,2,6,0,24,10,6,0
2,0,16.66666667,0,20,4,12,3,8,0,102,52,12,1
1,0,14.28571429,0,10,1,1,3,10,0,62,50,7,1
1,0,5,0,10,12,1,3,9,0,172,109,20,1
3,0,10.34482759,0,30,11,2,3,10,0,212,114,29,1
1,0,9.090909091,0,10,4,1,4,9,0,98,68,11,1
1,0,9.090909091,0,10,2,1,4,11,0,115,82,11,1
2,2,3.225806452,3.225806452,0,29,11,4,11,0,580,319,62,1
4,0,14.28571429,0,40,8,1,3,8,0,176,82,28,1
3,0,21.42857143,0,30,6,12,4,9,0,135,79,14,1
0,0,0,0,0,4,0,2,7,0,55,31,11,1
0,1,0,12.5,-10,3,1,4,9,0,99,46,8,0
0,0,0,0,0,11,1,3,7,0,110,59,17,1
2,0,28.57142857,0,20,2,0,4,11,0,95,50,7,1
1,0,3.846153846,0,10,7,2,4,10,0,305,149,26,1
1,1,9.090909091,9.090909091,0,3,1,3,9,0,104,56,11,1
2,0,13.33333333,0,20,2,2,3,9,0,127,81,15,1
1,1,4,4,0,10,2,4,12,0,270,171,25,0
2,3,4.651162791,6.976744186,-10,15,2,4,12,0,481,350,43,0
3,1,6.25,2.083333333,20,25,2,4,12,0,419,267,48,0
2,1,6.896551724,3.448275862,10,9,4,4,13,0,340,212,29,0
1,1,11.11111111,11.11111111,0,3,1,2,5,0,43,23,9,1
1,0,16.66666667,0,10,1,1,4,12,0,89,40,6,1
2,0,16.66666667,0,20,2,1,4,10,0,156,93,12,1
1,1,5.882352941,5.882352941,0,8,1,3,9,0,117,77,17,1
1,0,14.28571429,0,10,2,1,3,7,0,47,21,7,1
1,2,5,10,-10,6,1,4,9,0,179,107,20,1
2,0,18.18181818,0,20,4,1,4,12,0,140,65,11,1
0,1,0,12.5,-10,2,2,2,6,0,53,16,8,1
1,0,12.5,0,10,3,1,3,8,0,59,31,8,1
1,1,14.28571429,14.28571429,0,1,1,3,9,0,66,34,7,1
1,0,25,0,10,0,1,1,4,0,6,8,4,1
1,0,9.090909091,0,10,3,3,3,7,0,72,34,11,1
2,0,18.18181818,0,20,1,1,3,8,0,65,50,11,1
0,0,0,0,0,1,1,2,6,0,37,19,7,1
1,0,8.333333333,0,10,3,8,2,7,0,55,23,12,1
0,0,0,0,0,6,1,3,10,0,118,59,12,0
0,1,0,7.692307692,-10,2,2,3,8,0,87,60,13,0
0,1,0,20,-10,2,1,3,8,0,34,30,5,0
1,1,3.846153846,3.846153846,0,6,1,4,10,0,220,140,26,0
0,1,0,9.090909091,-10,6,1,3,7,0,77,45,11,0
0,1,0,11.11111111,-10,3,1,3,10,0,55,57,9,0
0,0,0,0,0,5,1,4,10,0,138,64,12,0
1,0,5.263157895,0,10,5,1,4,12,0,231,118,19,0
