Number of Positve Word,Number of Negative Word,Frequency of Positive Words,Frequency of Negative Words,Sentiment Value,Number of Stop Words,Number of Capitalization,Average Word Length,Max Word Length,Is maximum word positive?,Sum Consonant Character Position,Sum Vowel Character Position,Total Number of Words,SENTIMENT CLASS
0,1,0,4.761904762,-10,5,1,4,11,0,189,152,21,0
1,0,5.263157895,0,10,9,2,4,9,0,192,79,19,0
1,0,4.166666667,0,10,8,3,4,12,0,259,146,24,1
1,0,20,0,10,2,1,1,4,0,13,9,5,0
0,0,0,0,0,3,1,4,11,0,153,61,11,0
0,0,0,0,0,3,1,3,7,0,56,24,8,0
1,0,16.66666667,0,10,2,1,2,8,0,40,25,6,1
0,0,0,0,0,0,1,3,9,0,55,23,5,1
2,3,5.263157895,7.894736842,-10,10,1,4,12,0,484,274,38,1
0,0,0,0,0,3,1,3,11,0,80,45,8,1
0,1,0,3.225806452,-10,8,2,4,9,0,279,150,31,1
0,0,0,0,0,0,2,4,9,0,73,50,6,1
1,0,20,0,10,0,1,3,8,0,41,42,5,1
0,0,0,0,0,0,10,1,3,0,9,9,5,1
1,0,16.66666667,0,10,2,1,3,9,0,52,19,6,1
0,0,0,0,0,2,1,4,9,0,56,47,6,1
2,0,18.18181818,0,20,4,1,3,7,0,57,36,11,1
0,1,0,3.846153846,-10,11,2,3,8,0,173,95,26,1
1,0,7.692307692,0,10,2,2,4,13,0,149,91,13,1
2,0,25,0,20,0,1,2,8,0,47,29,8,1
1,0,5.555555556,0,10,5,2,4,13,0,237,164,18,1
1,1,2.564102564,2.564102564,0,20,3,4,13,0,372,260,39,0
1,0,14.28571429,0,10,2,1,2,5,0,29,25,7,1
0,0,0,0,0,2,0,2,5,0,23,7,6,1
1,2,4.761904762,9.523809524,-10,7,1,3,11,0,143,131,21,0
1,1,8.333333333,8.333333333,0,3,1,3,8,0,104,44,12,0
1,0,11.11111111,0,10,1,2,3,10,0,96,57,9,1
1,1,5,5,0,3,4,4,11,0,225,134,20,1
1,0,10,0,10,6,3,3,10,0,97,48,10,1
0,0,0,0,0,4,1,2,6,0,26,30,9,1
0,1,0,20,-10,2,1,2,6,0,25,15,5,1
2,0,50,0,20,0,2,3,11,0,64,26,4,1
1,1,9.090909091,9.090909091,0,3,2,2,8,0,63,30,11,0
0,5,0,41.66666667,-50,1,1,5,11,0,154,122,12,0
0,1,0,10,-10,2,1,2,10,0,61,36,10,0
0,1,0,5.555555556,-10,5,2,3,11,0,156,92,18,0
0,1,0,6.666666667,-10,2,1,3,10,0,126,83,15,0
0,1,0,20,-10,2,1,2,5,0,19,11,5,0
0,1,0,5.555555556,-10,6,1,3,9,0,144,83,18,0
1,1,14.28571429,14.28571429,0,1,1,2,7,0,42,24,7,0
0,0,0,0,0,4,6,3,6,0,44,27,7,0
0,1,0,11.11111111,-10,5,1,2,5,0,43,21,9,0
1,0,4.347826087,0,10,12,1,3,8,0,192,78,23,0
0,2,0,11.76470588,-20,8,1,4,12,0,167,116,17,0
0,1,0,6.25,-10,9,2,3,12,0,136,84,16,0
1,2,4,8,-10,9,2,3,8,0,190,107,25,0
0,1,0,11.11111111,-10,3,1,3,12,0,83,72,9,0
1,1,10,10,0,3,1,3,8,0,53,39,10,0
2,0,8.695652174,0,20,5,5,4,11,0,300,114,23,1
1,0,5.555555556,0,10,7,5,4,11,0,225,110,18,1
2,0,14.28571429,0,20,5,1,4,12,0,151,100,14,1
0,1,0,5,-10,7,7,3,15,0,182,99,20,0
0,1,0,10,-10,4,1,3,10,0,86,45,10,0
1,0,12.5,0,10,2,1,3,7,0,50,45,8,0
1,2,5.555555556,11.11111111,-10,7,2,3,5,0,87,55,18,0
0,0,0,0,0,4,9,3,7,0,85,70,12,0
0,2,0,16.66666667,-20,4,2,4,11,0,155,70,12,0
0,3,0,12.5,-30,11,2,4,13,0,242,144,24,0
1,0,8.333333333,0,10,2,1,5,23,0,379,187,12,0
0,1,0,11.11111111,-10,1,1,3,6,0,57,26,9,0
1,1,8.333333333,8.333333333,0,4,1,3,9,0,106,49,12,0
0,0,0,0,0,0,1,3,5,0,21,24,4,0
0,1,0,14.28571429,-10,3,1,3,7,0,43,25,7,0
1,0,16.66666667,0,10,2,1,3,9,0,53,24,6,1
1,0,12.5,0,10,1,1,3,8,0,76,39,8,1
1,0,9.090909091,0,10,3,1,3,9,0,89,57,11,1
2,0,25,0,20,2,0,3,8,0,68,42,8,1
3,2,17.64705882,11.76470588,10,5,1,4,8,0,155,91,17,1
3,0,37.5,0,30,0,0,3,9,0,69,33,8,1
0,0,0,0,0,6,1,3,7,0,121,70,15,1
0,0,0,0,0,10,5,3,9,0,160,114,24,1
0,0,0,0,0,1,1,3,7,0,32,17,4,0
0,0,0,0,0,4,1,3,6,0,39,32,8,0
0,0,0,0,0,5,1,3,6,0,97,60,14,0
1,1,4.761904762,4.761904762,0,6,1,4,13,0,244,112,21,0
0,0,0,0,0,5,2,3,5,0,61,23,10,0
1,0,10,0,10,2,2,2,9,0,66,26,10,1
4,1,14.81481481,3.703703704,30,9,5,4,9,0,247,133,27,1
4,0,36.36363636,0,40,1,1,4,13,0,104,85,11,1
1,3,2.173913043,6.52173913,-20,17,2,4,11,0,467,253,46,1
1,0,5,0,10,7,2,4,10,0,235,95,20,1
1,0,10,0,10,4,2,3,9,0,74,59,10,1
4,0,17.39130435,0,40,6,10,4,9,0,233,119,23,1
2,0,11.76470588,0,20,1,2,4,10,0,176,103,17,1
0,0,0,0,0,4,3,4,13,0,174,107,17,1
2,0,16.66666667,0,20,4,2,4,15,0,157,99,12,1
0,1,0,11.11111111,-10,3,1,3,10,0,94,49,9,0
1,0,12.5,0,10,2,2,3,7,0,68,28,8,1
2,0,25,0,20,3,2,3,8,0,68,27,8,1
2,0,20,0,20,2,1,4,9,0,127,51,10,1
3,2,9.090909091,6.060606061,10,11,1,3,10,0,270,131,33,1
1,0,10,0,10,2,1,2,6,0,52,26,10,1
1,0,5.555555556,0,10,5,3,4,11,0,167,130,18,1
1,0,7.692307692,0,10,7,2,3,9,0,98,47,13,1
1,0,25,0,10,0,1,2,8,0,27,25,4,1
1,1,12.5,12.5,0,3,1,3,10,0,81,39,8,0
6,0,16.66666667,0,60,4,3,5,13,0,501,277,36,1
2,1,13.33333333,6.666666667,10,2,1,4,11,0,154,71,15,1
1,0,9.090909091,0,10,5,1,3,11,0,113,60,11,1
2,0,10,0,20,7,3,3,10,0,194,87,20,1
0,0,0,0,0,2,1,3,9,0,45,38,6,1
0,1,0,4.545454545,-10,9,2,4,10,0,239,140,22,1
0,1,0,20,-10,2,1,2,6,0,26,10,5,0
1,2,5,10,-10,6,1,3,8,0,139,53,20,0
1,0,4.761904762,0,10,9,2,3,9,0,144,81,21,1
2,0,22.22222222,0,20,0,1,3,7,0,83,40,9,1
2,0,15.38461538,0,20,3,2,4,8,0,124,64,13,1
2,2,5.714285714,5.714285714,0,13,5,4,11,0,376,218,35,1
0,0,0,0,0,7,1,3,8,0,149,125,23,1
1,0,4.166666667,0,10,9,1,4,11,0,232,146,24,1
1,0,6.666666667,0,10,2,4,3,8,0,105,54,15,1
0,0,0,0,0,5,1,3,6,0,39,28,6,1
0,0,0,0,0,4,1,2,4,0,29,13,6,0
0,0,0,0,0,2,1,3,11,0,66,41,9,0
1,0,9.090909091,0,10,3,1,3,6,0,74,27,11,0
2,0,25,0,20,5,1,3,8,0,67,37,8,0
0,2,0,11.11111111,-20,7,1,4,10,0,178,91,18,0
1,0,9.090909091,0,10,6,2,3,9,0,76,49,11,0
1,0,4.761904762,0,10,5,6,2,9,0,114,43,21,1
2,3,4.347826087,6.52173913,-10,18,7,4,11,0,383,229,46,1
1,0,16.66666667,0,10,3,1,2,7,0,26,33,6,1
1,1,12.5,12.5,0,2,1,2,6,0,45,19,8,1
1,1,5.882352941,5.882352941,0,6,2,3,6,0,103,71,17,1
0,1,0,10,-10,4,1,2,5,0,40,31,10,1
0,0,0,0,0,0,0,10,10,0,55,0,0,1
1,0,16.66666667,0,10,2,1,3,13,0,78,39,6,1
0,1,0,5.882352941,-10,2,2,4,11,0,240,120,17,1
1,2,3.571428571,7.142857143,-10,11,1,4,11,0,344,166,28,1
2,0,12.5,0,20,4,2,4,13,0,175,122,16,1
2,0,12.5,0,20,3,4,4,11,0,163,100,16,1
0,1,0,14.28571429,-10,1,1,3,11,0,64,36,7,1
1,0,6.25,0,10,11,1,3,7,0,92,48,16,1
1,0,16.66666667,0,10,3,1,3,7,0,33,32,6,1
2,0,10.52631579,0,20,5,1,5,13,0,370,189,19,1
2,0,9.523809524,0,20,8,5,3,9,0,151,90,21,1
0,2,0,8,-20,9,4,4,10,0,273,130,25,0
1,1,10,10,0,2,1,4,15,0,132,99,10,0
0,0,0,0,0,1,4,2,5,0,27,12,5,0
0,1,0,7.692307692,-10,3,5,3,8,0,80,52,13,0
2,3,3.703703704,5.555555556,-10,17,5,3,8,0,393,219,54,0
1,4,1.923076923,7.692307692,-30,15,5,4,10,0,508,261,52,0
1,1,8.333333333,8.333333333,0,5,1,3,7,0,64,43,12,0
0,1,0,14.28571429,-10,4,1,2,6,0,33,24,7,0
1,0,8.333333333,0,10,7,2,3,10,0,111,69,12,1
1,1,2.702702703,2.702702703,0,13,7,4,11,0,332,179,37,1
1,0,10,0,10,2,2,4,14,0,150,65,10,1
1,1,6.25,6.25,0,8,1,3,8,0,115,70,16,1
0,0,0,0,0,3,1,4,9,0,103,35,8,1
4,0,13.79310345,0,40,12,5,5,11,0,361,232,29,1
1,0,4.166666667,0,10,7,2,4,11,0,229,111,24,1
2,0,5.714285714,0,20,10,5,4,13,0,327,215,35,1
0,0,0,0,0,2,1,4,11,0,126,71,9,1
1,1,8.333333333,8.333333333,0,4,1,4,9,0,127,63,12,1
0,0,0,0,0,7,1,3,7,0,96,66,15,1
1,0,8.333333333,0,10,4,1,3,6,0,88,32,12,1
4,1,10.25641026,2.564102564,30,12,3,5,12,0,487,276,39,1
2,1,8.333333333,4.166666667,10,1,4,4,14,0,331,178,24,1
1,0,16.66666667,0,10,0,2,2,10,0,42,33,6,1
0,0,0,0,0,2,2,3,11,0,77,64,13,1
0,2,0,18.18181818,-20,3,1,3,8,0,80,39,11,1
2,3,5.714285714,8.571428571,-10,13,4,3,11,0,265,127,35,1
2,1,6.666666667,3.333333333,10,9,2,4,10,0,351,168,30,1
4,3,9.756097561,7.317073171,10,14,1,4,17,0,529,251,41,1
3,0,17.64705882,0,30,3,1,4,7,0,148,73,17,1
3,0,9.375,0,30,9,3,4,11,0,285,170,32,1
1,0,16.66666667,0,10,1,10,2,8,0,41,19,6,1
1,0,3.448275862,0,10,10,1,3,10,0,197,138,29,1
0,0,0,0,0,3,1,2,5,0,29,17,7,1
3,1,9.375,3.125,20,15,6,4,10,0,284,178,32,1
0,1,0,4.761904762,-10,5,3,5,17,0,401,188,21,1
0,1,0,7.692307692,-10,3,2,4,12,0,148,78,13,0
0,1,0,25,-10,1,1,2,4,0,24,6,4,0
1,1,3.571428571,3.571428571,0,10,1,4,9,0,232,152,28,0
0,1,0,16.66666667,-10,2,1,2,5,0,30,20,6,0
0,1,0,6.666666667,-10,4,3,3,10,0,112,67,15,0
1,0,2.941176471,0,10,12,4,3,12,0,260,160,34,0
0,1,0,8.333333333,-10,6,1,2,5,0,59,33,12,0
0,1,0,9.090909091,-10,3,1,2,6,0,59,23,11,0
2,0,14.28571429,0,20,8,1,3,8,0,107,67,14,1
0,1,0,3.448275862,-10,8,2,5,12,0,396,210,29,1
4,0,25,0,40,3,2,4,10,0,191,101,16,1
1,0,6.25,0,10,7,2,2,6,0,69,42,16,1
1,0,11.11111111,0,10,0,5,4,9,0,104,56,9,1
1,3,3.571428571,10.71428571,-20,8,28,3,9,0,241,136,28,0
0,0,0,0,0,2,1,2,6,0,41,17,7,0
1,1,11.11111111,11.11111111,0,0,3,2,5,0,32,29,9,0
0,1,0,7.692307692,-10,7,1,4,9,0,104,76,13,0
0,1,0,20,-10,1,1,3,9,0,35,55,5,0
0,1,0,16.66666667,-10,1,1,3,7,0,57,22,6,0
0,1,0,33.33333333,-10,1,1,4,10,0,61,15,3,0
1,2,3.846153846,7.692307692,-10,8,1,4,10,0,277,169,26,0
1,2,2.941176471,5.882352941,-10,13,2,4,11,0,420,184,34,0
0,3,0,27.27272727,-30,1,1,3,9,0,94,48,11,0
0,1,0,12.5,-10,3,1,3,6,0,60,29,8,0
2,1,18.18181818,9.090909091,10,2,1,3,7,0,85,34,11,1
1,1,6.25,6.25,0,4,2,2,5,0,66,47,16,1
1,1,3.333333333,3.333333333,0,8,1,4,12,0,322,185,30,1
4,2,15.38461538,7.692307692,20,8,1,5,15,0,413,266,26,1
0,0,0,0,0,1,1,3,9,0,56,27,6,1
3,0,13.63636364,0,30,1,5,4,10,0,217,136,22,1
1,0,6.666666667,0,10,4,1,3,9,0,143,70,15,1
1,0,10,0,10,1,1,4,11,0,141,78,10,1
3,0,10.34482759,0,30,12,1,5,11,0,377,240,29,1
1,0,33.33333333,0,10,0,1,2,5,0,12,18,3,1
0,1,0,12.5,-10,2,1,3,6,0,50,28,8,0
1,0,2.380952381,0,10,8,4,3,9,0,346,169,42,0
0,1,0,20,-10,2,1,2,6,0,32,13,5,0
0,2,0,33.33333333,-20,1,1,4,12,0,89,40,6,0
1,0,6.666666667,0,10,6,1,4,10,0,174,81,15,0
0,2,0,16.66666667,-20,3,3,4,10,0,150,76,12,0
0,2,0,22.22222222,-20,4,1,2,4,0,44,18,9,0
0,1,0,16.66666667,-10,2,1,3,7,0,46,23,6,0
0,0,0,0,0,4,1,3,5,0,55,47,10,0
1,0,9.090909091,0,10,4,2,3,10,0,86,51,11,1
2,0,40,0,20,1,1,3,7,0,47,23,5,1
0,1,0,16.66666667,-10,0,2,3,6,0,43,24,6,0
0,3,0,11.53846154,-30,8,2,3,8,0,152,100,26,0
0,2,0,22.22222222,-20,2,1,3,10,0,72,51,9,0
0,7,0,29.16666667,-70,8,3,4,9,0,254,106,24,0
1,2,6.25,12.5,-10,4,1,4,15,0,241,130,16,0
1,1,4.761904762,4.761904762,0,7,2,4,10,0,183,113,21,0
0,1,0,11.11111111,-10,2,1,4,9,0,93,83,9,0
0,0,0,0,0,2,1,2,5,0,37,14,7,0
0,3,0,14.28571429,-30,7,2,4,12,0,196,121,21,0
0,0,0,0,0,3,1,2,5,0,42,17,7,0
0,1,0,8.333333333,-10,4,3,3,8,0,81,46,12,0
3,1,11.11111111,3.703703704,20,7,7,5,12,0,341,210,27,0
0,1,0,11.11111111,-10,2,2,2,7,0,47,38,9,0
0,3,0,13.04347826,-30,7,2,4,10,0,211,110,23,0
3,3,15.78947368,15.78947368,0,3,3,3,7,0,139,65,19,0
1,3,5.882352941,17.64705882,-20,5,6,4,11,0,196,95,17,0
1,2,7.142857143,14.28571429,-10,2,1,4,8,0,115,87,14,0
1,0,5.882352941,0,10,3,3,3,10,0,139,75,17,0
2,0,11.76470588,0,20,5,1,4,12,0,182,100,17,1
1,0,10,0,10,1,3,4,16,0,155,77,10,1
1,1,3.225806452,3.225806452,0,8,4,4,9,0,291,200,31,1
0,1,0,11.11111111,-10,3,1,3,9,0,69,49,9,0
0,1,0,10,-10,5,1,3,8,0,67,50,10,0
0,2,0,15.38461538,-20,3,1,4,11,0,180,79,13,0
2,0,13.33333333,0,20,6,1,3,7,0,107,58,15,1
1,1,8.333333333,8.333333333,0,3,2,3,9,0,97,42,12,0
0,0,0,0,0,5,2,3,15,0,124,73,11,0
0,3,0,17.64705882,-30,4,1,4,16,0,238,135,17,0
0,1,0,33.33333333,-10,0,1,1,5,0,11,7,3,0
0,2,0,11.11111111,-20,8,5,3,7,0,108,73,18,0
0,1,0,4.761904762,-10,7,1,3,10,0,152,97,21,0
1,2,9.090909091,18.18181818,-10,5,1,3,6,0,85,43,11,0
0,0,0,0,0,3,1,3,12,0,62,35,5,0
1,2,5,10,-10,3,1,3,8,0,178,83,20,0
0,0,0,0,0,9,20,3,7,0,114,81,21,0
1,0,6.666666667,0,10,6,4,3,10,0,105,52,15,1
1,0,6.666666667,0,10,3,1,3,9,0,134,70,15,1
1,0,25,0,10,0,1,3,9,0,53,17,4,1
1,0,3.571428571,0,10,9,3,3,9,0,206,109,28,1
1,1,10,10,0,3,2,3,7,0,62,47,10,0
1,1,7.692307692,7.692307692,0,2,1,4,15,0,185,115,13,0
0,0,0,0,0,1,1,4,11,0,82,46,7,0
1,0,5.263157895,0,10,6,1,4,13,0,215,137,19,1
1,0,10,0,10,5,1,4,11,0,94,68,10,0
0,3,0,37.5,-30,0,1,3,10,0,84,31,8,0
0,1,0,33.33333333,-10,0,1,2,6,0,26,10,3,0
1,0,20,0,10,2,1,2,5,0,25,9,5,0
2,2,18.18181818,18.18181818,0,0,3,3,8,0,90,50,11,1
1,0,6.25,0,10,6,1,3,11,0,110,67,16,1
2,1,7.692307692,3.846153846,10,5,3,4,13,0,323,193,26,1
1,0,4,0,10,8,4,3,10,0,187,130,25,1
0,0,0,0,0,2,1,2,5,0,25,21,6,1
3,0,7.692307692,0,30,12,4,4,11,0,454,259,39,1
1,0,4.761904762,0,10,6,7,4,9,0,238,139,21,1
1,1,3.846153846,3.846153846,0,6,10,4,11,0,281,163,26,1
2,0,9.090909091,0,20,6,2,4,10,0,222,139,22,1
3,1,21.42857143,7.142857143,20,3,1,5,11,0,203,114,14,1
1,0,5.263157895,0,10,6,2,3,10,0,152,97,19,1
3,0,21.42857143,0,30,7,1,3,8,0,78,49,14,1
1,0,10,0,10,4,1,4,17,0,145,91,10,1
1,0,8.333333333,0,10,4,1,4,10,0,147,81,12,1
1,1,9.090909091,9.090909091,0,2,1,3,8,0,84,35,11,1
2,0,15.38461538,0,20,4,2,4,8,0,99,78,13,1
0,0,0,0,0,3,1,3,9,0,99,47,15,1
0,0,0,0,0,0,1,1,4,0,11,5,4,1
1,0,3.03030303,0,10,14,4,4,10,0,302,155,33,1
0,0,0,0,0,10,2,3,8,0,216,120,26,1
1,0,33.33333333,0,10,0,1,4,10,0,40,36,3,1
4,0,14.28571429,0,40,9,4,4,11,0,304,198,28,1
1,0,11.11111111,0,10,2,1,2,5,0,47,28,9,1
1,0,33.33333333,0,10,0,1,3,9,0,41,25,3,1
0,1,0,3.846153846,-10,8,3,4,10,0,252,127,26,1
5,0,29.41176471,0,50,3,1,3,10,0,160,88,17,1
1,0,5.882352941,0,10,5,1,4,10,0,176,86,17,1
1,0,5.263157895,0,10,9,4,4,10,0,158,108,19,0
1,3,3.03030303,9.090909091,-20,15,2,4,10,0,285,162,33,0
0,1,0,11.11111111,-10,2,1,3,6,0,53,39,9,0
1,0,8.333333333,0,10,4,1,3,6,0,66,33,12,1
0,0,0,0,0,6,1,4,10,0,223,101,19,1
1,0,25,0,10,0,1,2,7,0,19,13,4,1
1,0,14.28571429,0,10,2,1,3,11,0,71,40,7,1
1,0,8.333333333,0,10,4,3,4,12,0,164,66,12,1
2,0,13.33333333,0,20,3,1,6,11,0,290,158,15,1
1,1,9.090909091,9.090909091,0,4,1,4,9,0,129,83,11,1
0,0,0,0,0,2,1,3,8,0,61,56,9,1
1,0,5.882352941,0,10,3,3,5,13,0,301,183,17,1
1,0,9.090909091,0,10,4,1,4,10,0,143,77,11,1
0,0,0,0,0,3,1,5,12,0,218,93,12,1
1,1,4.761904762,4.761904762,0,11,1,4,10,0,278,135,21,1
3,0,9.677419355,0,30,5,12,4,11,0,290,198,31,1
6,0,14.63414634,0,60,12,7,5,14,0,586,324,41,1
2,0,15.38461538,0,20,5,1,3,10,0,102,76,13,1
2,1,12.5,6.25,10,3,1,5,13,0,253,124,16,1
1,0,4.347826087,0,10,9,1,3,8,0,140,83,23,0
0,1,0,4.166666667,-10,10,4,3,10,0,201,113,24,0
0,6,0,18.75,-60,16,1,3,9,0,244,153,32,0
3,1,11.53846154,3.846153846,20,11,1,3,7,0,187,83,26,1
3,0,18.75,0,30,3,1,4,9,0,154,75,16,1
0,4,0,30.76923077,-40,2,1,3,11,0,123,70,13,0
1,0,3.703703704,0,10,7,6,3,7,0,188,92,27,1
1,0,9.090909091,0,10,2,4,2,5,0,46,30,11,1
2,0,10,0,20,8,3,3,9,0,145,76,20,1
0,0,0,0,0,2,1,2,8,0,52,24,8,1
1,1,12.5,12.5,0,1,1,2,5,0,34,24,8,1
1,0,8.333333333,0,10,5,2,3,10,0,96,68,12,1
1,0,11.11111111,0,10,4,1,2,6,0,42,34,9,1
2,0,22.22222222,0,20,1,1,4,12,0,140,74,9,1
2,0,40,0,20,1,1,3,10,0,71,39,5,1
2,0,14.28571429,0,20,3,2,4,13,0,189,93,14,1
0,0,0,0,0,9,6,4,12,0,297,160,30,1
1,1,7.142857143,7.142857143,0,3,1,4,12,0,152,74,14,1
3,0,13.04347826,0,30,8,1,3,8,0,159,95,23,1
2,0,22.22222222,0,20,2,1,2,6,0,43,28,9,1
1,0,14.28571429,0,10,0,1,3,7,0,51,35,7,1
2,0,28.57142857,0,20,1,1,3,9,0,59,36,7,1
1,0,11.11111111,0,10,2,1,2,6,0,46,37,9,0
0,1,0,8.333333333,-10,1,3,3,8,0,103,58,12,0
2,3,13.33333333,20,-10,5,1,4,13,0,209,115,15,0
0,1,0,14.28571429,-10,1,1,2,12,0,70,28,7,0
1,1,33.33333333,33.33333333,0,0,1,4,13,0,65,32,3,0
1,2,6.25,12.5,-10,5,1,3,12,0,120,71,16,0